cycSecs,cycMps,cycGrade,cycRoadType
0,0,0,0
1,3.765594825,0,0
2,3.766243538,0,0
3,3.767533917,0,0
4,3.769465963,0,0
5,3.772039676,0,0
6,3.775255056,0,0
7,3.779112103,0,0
8,3.783610817,0,0
9,3.788751198,0,0
10,3.794533246,0,0
11,3.800956961,0,0
12,3.808022343,0,0
13,3.815729391,0,0
14,3.824078107,0,0
15,3.833068489,0,0
16,3.842700539,0,0
17,3.852974256,0,0
18,3.863889639,0,0
19,3.875446689,0,0
20,3.887645407,0,0
21,3.900485791,0,0
22,3.913967842,0,0
23,3.92809156,0,0
24,3.942856945,0,0
25,3.958263997,0,0
26,3.974312716,0,0
27,3.991003102,0,0
28,4.008335155,0,0
29,4.026308874,0,0
30,4.044924261,0,0
31,4.064181315,0,0
32,4.084080035,0,0
33,4.104620423,0,0
34,4.125802469,0,0
35,4.147626137,0,0
36,4.17009142,0,0
37,4.193198317,0,0
38,4.216946828,0,0
39,4.241336954,0,0
40,4.266368694,0,0
41,4.292042047,0,0
42,4.318357015,0,0
43,4.345313598,0,0
44,4.372911794,0,0
45,4.401151605,0,0
46,4.43003303,0,0
47,4.459556069,0,0
48,4.489720725,0,0
49,4.520526989,0,0
50,4.551974871,0,0
51,4.584064368,0,0
52,4.616795479,0,0
53,4.650168204,0,0
54,4.684182539,0,0
55,4.718838492,0,0
56,4.75413606,0,0
57,4.790075242,0,0
58,4.826657196,0,0
59,4.863886571,0,0
60,4.90176452,0,0
61,4.94028804,0,0
62,4.979445083,0,0
63,5.019232644,0,0
64,5.059650715,0,0
65,5.100699305,0,0
66,5.142378409,0,0
67,5.184688031,0,0
68,5.227628163,0,0
69,5.271198814,0,0
70,5.31540014,0,0
71,5.360232798,0,0
72,5.405696949,0,0
73,5.451792594,0,0
74,5.498519736,0,0
75,5.545878367,0,0
76,5.593868491,0,0
77,5.642490112,0,0
78,5.691743227,0,0
79,5.741627831,0,0
80,5.792143932,0,0
81,5.843291526,0,0
82,5.895070614,0,0
83,5.947481194,0,0
84,6.000523273,0,0
85,6.05419684,0,0
86,6.1085019,0,0
87,6.163438458,0,0
88,6.219006509,0,0
89,6.275206048,0,0
90,6.332037086,0,0
91,6.389499616,0,0
92,6.44759364,0,0
93,6.506319157,0,0
94,6.565676167,0,0
95,6.625664675,0,0
96,6.686284671,0,0
97,6.747535191,0,0
98,6.80941234,0,0
99,6.871915143,0,0
100,6.935043606,0,0
101,6.998797724,0,0
102,7.063177497,0,0
103,7.128182929,0,0
104,7.193814011,0,0
105,7.260070757,0,0
106,7.326953154,0,0
107,7.39446121,0,0
108,7.462594925,0,0
109,7.531354295,0,0
110,7.600739319,0,0
111,7.670749999,0,0
112,7.741386338,0,0
113,7.812648332,0,0
114,7.884642456,0,0
115,7.957794598,0,0
116,8.030995967,0,0
117,8.099385492,0,0
118,8.161747898,0,0
119,8.218083191,0,0
120,8.268391369,0,0
121,8.312672429,0,0
122,8.350926379,0,0
123,8.383153211,0,0
124,8.409352929,0,0
125,8.429525533,0,0
126,8.443671019,0,0
127,8.451789395,0,0
128,8.453880652,0,0
129,8.449944796,0,0
130,8.439981826,0,0
131,8.423991737,0,0
132,8.401974538,0,0
133,8.373930222,0,0
134,8.339858791,0,0
135,8.299760246,0,0
136,8.253634583,0,0
137,8.20148181,0,0
138,8.143301919,0,0
139,8.079094914,0,0
140,8.009017031,0,0
141,7.933693232,0,0
142,7.853279748,0,0
143,7.767776584,0,0
144,7.677183736,0,0
145,7.581501208,0,0
146,7.480728999,0,0
147,7.374867111,0,0
148,7.263915538,0,0
149,7.147874285,0,0
150,7.026743352,0,0
151,6.900522735,0,0
152,6.769212442,0,0
153,6.63281246,0,0
154,6.491322802,0,0
155,6.34474346,0,0
156,6.193074438,0,0
157,6.038078142,0,0
158,5.886804196,0,0
159,5.741015015,0,0
160,5.600710594,0,0
161,5.465890935,0,0
162,5.33655604,0,0
163,5.212705901,0,0
164,5.094340527,0,0
165,4.981459914,0,0
166,4.874064062,0,0
167,4.77215297,0,0
168,4.675726639,0,0
169,4.584785073,0,0
170,4.499328262,0,0
171,4.419356218,0,0
172,4.344868934,0,0
173,4.27586641,0,0
174,4.212348648,0,0
175,4.154315648,0,0
176,4.101767408,0,0
177,4.05470393,0,0
178,4.013125214,0,0
179,3.977031258,0,0
180,3.946422064,0,0
181,3.922634358,0,0
182,3.911015048,0,0
183,3.91290086,0,0
184,3.928291795,0,0
185,3.957187853,0,0
186,3.999589034,0,0
187,4.055495337,0,0
188,4.124906762,0,0
189,4.207823311,0,0
190,4.304244981,0,0
191,4.414171775,0,0
192,4.537603693,0,0
193,4.674540731,0,0
194,4.824982892,0,0
195,4.988930176,0,0
196,5.166382584,0,0
197,5.35734011,0,0
198,5.561802763,0,0
199,5.77977054,0,0
200,6.011243435,0,0
201,6.256221453,0,0
202,6.514704599,0,0
203,6.786692864,0,0
204,7.072186251,0,0
205,7.366743554,0,0
206,7.652599929,0,0
207,7.925314178,0,0
208,8.184886295,0,0
209,8.431316277,0,0
210,8.664604128,0,0
211,8.884749848,0,0
212,9.091753436,0,0
213,9.285614894,0,0
214,9.466334216,0,0
215,9.633911407,0,0
216,9.788346471,0,0
217,9.9296394,0,0
218,10.0577902,0,0
219,10.17279886,0,0
220,10.27466539,0,0
221,10.3633898,0,0
222,10.43897207,0,0
223,10.50141221,0,0
224,10.55071021,0,0
