cycSecs,cycMps,cycGrade,cycRoadType
0,0,0,0
1,0.301133294,0,0
2,0.31848716,0,0
3,0.336089295,0,0
4,0.353939699,0,0
5,0.37203837,0,0
6,0.390385311,0,0
7,0.408980521,0,0
8,0.427823999,0,0
9,0.446915746,0,0
10,0.466255761,0,0
11,0.485844045,0,0
12,0.505680598,0,0
13,0.52576542,0,0
14,0.54609851,0,0
15,0.566679868,0,0
16,0.587509495,0,0
17,0.608587391,0,0
18,0.629913556,0,0
19,0.651487989,0,0
20,0.673310691,0,0
21,0.695381661,0,0
22,0.7177009,0,0
23,0.740268408,0,0
24,0.763084185,0,0
25,0.78614823,0,0
26,0.809460544,0,0
27,0.833021126,0,0
28,0.856829977,0,0
29,0.880887097,0,0
30,0.905192485,0,0
31,0.929746142,0,0
32,0.954548068,0,0
33,0.979598262,0,0
34,1.004896725,0,0
35,1.030443456,0,0
36,1.056238456,0,0
37,1.082281725,0,0
38,1.108573263,0,0
39,1.135113069,0,0
40,1.161901144,0,0
41,1.188937487,0,0
42,1.216222099,0,0
43,1.243754979,0,0
44,1.271536129,0,0
45,1.299565547,0,0
46,1.327843233,0,0
47,1.356369189,0,0
48,1.385143413,0,0
49,1.414165906,0,0
50,1.443436667,0,0
51,1.472955696,0,0
52,1.502722995,0,0
53,1.532738562,0,0
54,1.563002398,0,0
55,1.593514502,0,0
56,1.624274875,0,0
57,1.655283517,0,0
58,1.686540427,0,0
59,1.718045606,0,0
60,1.749799054,0,0
61,1.78180077,0,0
62,1.814050755,0,0
63,1.846549009,0,0
64,1.879295531,0,0
65,1.912290322,0,0
66,1.945533381,0,0
67,1.97902471,0,0
68,2.012764307,0,0
69,2.046752172,0,0
70,2.080988306,0,0
71,2.115472709,0,0
72,2.15020538,0,0
73,2.18518632,0,0
74,2.220415529,0,0
75,2.255893006,0,0
76,2.291618752,0,0
77,2.327592767,0,0
78,2.36381505,0,0
79,2.400285602,0,0
80,2.437004423,0,0
81,2.473971512,0,0
82,2.51118687,0,0
83,2.548650496,0,0
84,2.586362391,0,0
85,2.624322555,0,0
86,2.662530987,0,0
87,2.700987689,0,0
88,2.739692658,0,0
89,2.778645897,0,0
90,2.817847403,0,0
91,2.857297179,0,0
92,2.896995223,0,0
93,2.936941536,0,0
94,2.977136118,0,0
95,3.017578968,0,0
96,3.058270087,0,0
97,3.099209474,0,0
98,3.140397131,0,0
99,3.181833055,0,0
100,3.223517249,0,0
101,3.265449711,0,0
102,3.307630442,0,0
103,3.350059441,0,0
104,3.392736709,0,0
105,3.435662246,0,0
106,3.478836051,0,0
107,3.522258125,0,0
108,3.565928468,0,0
109,3.609847079,0,0
110,3.654013959,0,0
111,3.698429107,0,0
112,3.743092525,0,0
113,3.788004211,0,0
114,3.833164165,0,0
115,3.878572388,0,0
116,3.92422888,0,0
117,3.97013364,0,0
118,4.016286669,0,0
119,4.062687967,0,0
120,4.109337534,0,0
121,4.156235368,0,0
122,4.203381472,0,0
123,4.250775845,0,0
124,4.298418485,0,0
125,4.346309395,0,0
126,4.394448573,0,0
127,4.44283602,0,0
128,4.491471736,0,0
129,4.54035572,0,0
130,4.589487974,0,0
131,4.638868495,0,0
132,4.688497284,0,0
133,4.738374342,0,0
134,4.788499672,0,0
135,4.838873265,0,0
136,4.889495132,0,0
137,4.940365266,0,0
138,4.991483664,0,0
139,5.042850335,0,0
140,5.094465274,0,0
141,5.146328485,0,0
142,5.198439961,0,0
143,5.250799704,0,0
144,5.30340772,0,0
145,5.356264004,0,0
146,5.409368552,0,0
147,5.462721372,0,0
148,5.51632246,0,0
149,5.570171817,0,0
150,5.624269442,0,0
151,5.678615339,0,0
152,5.7332095,0,0
153,5.788051933,0,0
154,5.843142635,0,0
155,5.8984816,0,0
156,5.954068838,0,0
157,6.009853708,0,0
158,6.065633661,0,0
159,6.121358055,0,0
160,6.177026891,0,0
161,6.232640178,0,0
162,6.288197907,0,0
163,6.343700078,0,0
164,6.399146695,0,0
165,6.454537754,0,0
166,6.509873259,0,0
167,6.565153211,0,0
168,6.620377604,0,0
169,6.675546444,0,0
170,6.730659726,0,0
171,6.785717454,0,0
172,6.840719628,0,0
173,6.895666244,0,0
174,6.950557303,0,0
175,7.005392807,0,0
176,7.060172758,0,0
177,7.11489715,0,0
178,7.169565989,0,0
179,7.22417927,0,0
180,7.278736997,0,0
181,7.333239171,0,0
182,7.387685786,0,0
183,7.442076844,0,0
184,7.496412347,0,0
185,7.550692297,0,0
186,7.604916689,0,0
187,7.659085527,0,0
188,7.713198807,0,0
189,7.767256534,0,0
190,7.821258706,0,0
191,7.875205321,0,0
192,7.929096382,0,0
193,7.982931885,0,0
194,8.036711829,0,0
195,8.090436225,0,0
196,8.144105062,0,0
197,8.197718341,0,0
198,8.251276067,0,0
199,8.304778239,0,0
200,8.358224853,0,0
201,8.411615908,0,0
202,8.464951415,0,0
203,8.518231359,0,0
204,8.571455753,0,0
205,8.62462459,0,0
206,8.677737868,0,0
207,8.730795593,0,0
208,8.783797764,0,0
209,8.836744377,0,0
210,8.889635432,0,0
211,8.942470937,0,0
212,8.995250885,0,0
213,9.047975274,0,0
214,9.10064411,0,0
215,9.153257387,0,0
216,9.205815111,0,0
217,9.258317281,0,0
218,9.310763893,0,0
219,9.363154952,0,0
220,9.415490452,0,0
221,9.467770399,0,0
222,9.519994792,0,0
223,9.572163627,0,0
224,9.624276903,0,0
225,9.676334626,0,0
226,9.728336796,0,0
227,9.780283407,0,0
228,9.832174465,0,0
229,9.884009964,0,0
230,9.93578991,0,0
231,9.987514302,0,0
232,10.03918314,0,0
233,10.09079641,0,0
234,10.14235413,0,0
235,10.1938563,0,0
236,10.24530291,0,0
237,10.29669397,0,0
238,10.34802947,0,0
239,10.39930941,0,0
240,10.45053381,0,0
241,10.50170264,0,0
242,10.55281592,0,0
243,10.60387364,0,0
244,10.65487581,0,0
245,10.70582242,0,0
246,10.75671347,0,0
247,10.80754897,0,0
248,10.85832891,0,0
249,10.90905331,0,0
250,10.95972214,0,0
251,11.01033541,0,0
252,11.06089314,0,0
253,11.1113953,0,0
254,11.16184191,0,0
255,11.21223297,0,0
256,11.26256846,0,0
257,11.31284841,0,0
258,11.3630728,0,0
259,11.41324163,0,0
260,11.46335491,0,0
261,11.51341263,0,0
262,11.56341479,0,0
263,11.6133614,0,0
264,11.66325246,0,0
265,11.71308795,0,0
266,11.76286789,0,0
267,11.81259228,0,0
268,11.86226111,0,0
269,11.91187439,0,0
270,11.96143211,0,0
271,12.01093427,0,0
272,12.06038089,0,0
273,12.10977194,0,0
274,12.15910743,0,0
275,12.20838738,0,0
276,12.25761176,0,0
277,12.30679423,0,0
278,12.35598932,0,0
279,12.40521066,0,0
280,12.45445826,0,0
281,12.50373211,0,0
282,12.55303223,0,0
283,12.6023586,0,0
284,12.65171122,0,0
285,12.7010901,0,0
286,12.75049523,0,0
287,12.79992663,0,0
288,12.84938428,0,0
289,12.89886818,0,0
290,12.94837834,0,0
291,12.99791476,0,0
292,13.04747743,0,0
293,13.09706636,0,0
294,13.14668155,0,0
295,13.19632299,0,0
296,13.24599069,0,0
297,13.29568464,0,0
298,13.34540485,0,0
299,13.39515132,0,0
300,13.44492404,0,0
301,13.49473767,0,0
302,13.54465081,0,0
303,13.59467812,0,0
304,13.64481959,0,0
305,13.69507524,0,0
306,13.74544504,0,0
307,13.79592901,0,0
308,13.84652715,0,0
309,13.89723944,0,0
310,13.94806591,0,0
311,13.99900654,0,0
312,14.05006133,0,0
313,14.1012303,0,0
314,14.15251342,0,0
315,14.20391071,0,0
316,14.25542217,0,0
317,14.30704779,0,0
318,14.35878757,0,0
319,14.41064153,0,0
320,14.46260964,0,0
321,14.51469192,0,0
322,14.56688837,0,0
323,14.61919898,0,0
324,14.67162376,0,0
325,14.7241627,0,0
326,14.77681581,0,0
327,14.82958308,0,0
328,14.88246452,0,0
329,14.93546012,0,0
330,14.98856989,0,0
331,15.04179382,0,0
332,15.09513192,0,0
333,15.14858418,0,0
334,15.20215061,0,0
335,15.25583121,0,0
336,15.30962596,0,0
337,15.36353489,0,0
