cycSecs,cycMps,cycGrade,cycRoadType
0,13.57278072,0,0
1,13.57278072,0,0
2,13.57278072,0,0
3,13.57278072,0,0
4,13.57278072,0,0
5,13.57278072,0,0
6,13.57278072,0,0
7,13.57278072,0,0
8,13.57278072,0,0
9,13.57278072,0,0
10,13.57278072,0,0
11,13.57278072,0,0
12,13.57278072,0,0
13,13.57278072,0,0
14,13.57278072,0,0
15,13.57278072,0,0
16,13.57278072,0,0
17,13.57278072,0,0
18,13.57278072,0,0
19,13.57278072,0,0
20,13.57278072,0,0
21,13.57278072,0,0
22,13.57278072,0,0
23,13.57278072,0,0
24,13.57278072,0,0
25,13.57278072,0,0
26,13.57278072,0,0
27,13.57278072,0,0
28,13.57278072,0,0
29,13.57278072,0,0
30,13.57278072,0,0
31,13.57278072,0,0
32,13.57278072,0,0
33,13.57278072,0,0
34,13.57278072,0,0
35,13.57278072,0,0
36,13.57278072,0,0
37,13.57278072,0,0
38,13.57278072,0,0
39,13.57278072,0,0
40,13.57278072,0,0
41,13.57278072,0,0
42,13.57278072,0,0
43,13.57278072,0,0
44,13.57278072,0,0
45,13.57278072,0,0
46,13.57278072,0,0
47,13.57278072,0,0
48,13.57278072,0,0
49,13.57278072,0,0
50,13.57278072,0,0
51,13.57278072,0,0
52,13.57278072,0,0
53,13.57278072,0,0
54,13.57278072,0,0
55,13.57278072,0,0
56,13.57278072,0,0
57,13.57278072,0,0
58,13.57278072,0,0
59,13.57278072,0,0
60,13.57278072,0,0
61,13.57278072,0,0
62,13.57278072,0,0
63,13.57278072,0,0
64,13.57278072,0,0
65,13.57278072,0,0
66,13.57278072,0,0
67,13.57278072,0,0
68,13.57278072,0,0
69,13.57278072,0,0
70,13.57278072,0,0
71,13.57278072,0,0
72,13.57278072,0,0
73,13.57278072,0,0
74,13.57278072,0,0
75,13.57278072,0,0
76,13.57278072,0,0
77,13.57278072,0,0
78,13.57278072,0,0
79,13.57278072,0,0
80,13.57278072,0,0
81,13.57278072,0,0
82,13.57278072,0,0
83,0,0,0
84,0,0,0
85,0,0,0
86,0,0,0
87,0,0,0
88,0,0,0
89,0,0,0
90,0,0,0
91,0,0,0
92,0,0,0
93,0,0,0
94,0,0,0
95,0,0,0
96,0,0,0
97,0,0,0
98,0,0,0
99,0,0,0
100,0,0,0
101,0,0,0
102,0,0,0
103,0,0,0
104,0,0,0
105,0,0,0
106,0,0,0
107,0,0,0
108,0,0,0
109,0,0,0
110,0,0,0
111,0,0,0
112,0,0,0
113,0,0,0
114,0,0,0
115,0,0,0
116,0,0,0
117,0,0,0
118,0,0,0
119,0,0,0
120,0,0,0
121,0,0,0
122,0,0,0
123,0,0,0
124,0,0,0
125,0,0,0
126,0,0,0
127,0,0,0
128,0,0,0
129,0,0,0
130,0,0,0
131,0,0,0
132,0,0,0
133,0,0,0
134,0,0,0
135,0,0,0
136,0,0,0
137,0,0,0
138,0,0,0
139,0,0,0
140,0,0,0
141,0,0,0
142,0,0,0
143,0,0,0
144,0,0,0
145,0,0,0
146,0,0,0
147,0,0,0
148,0,0,0
149,0,0,0
150,0,0,0
151,0,0,0
152,0,0,0
153,0,0,0
154,0,0,0
155,0,0,0
156,13.4112,0,0
157,13.4112,0,0
158,13.4112,0,0
159,13.4112,0,0
160,13.4112,0,0
161,13.4112,0,0
162,13.4112,0,0
163,13.4112,0,0
164,13.4112,0,0
165,13.4112,0,0
166,13.4112,0,0
167,13.4112,0,0
168,13.4112,0,0
169,13.4112,0,0
170,13.4112,0,0
171,13.4112,0,0
172,13.4112,0,0
173,13.4112,0,0
174,13.4112,0,0
175,13.4112,0,0
176,13.4112,0,0
177,13.4112,0,0
178,13.4112,0,0
179,13.4112,0,0
180,13.4112,0,0
181,13.4112,0,0
182,13.4112,0,0
183,13.4112,0,0
184,13.4112,0,0
185,13.4112,0,0
186,13.4112,0,0
187,13.4112,0,0
188,13.4112,0,0
189,13.4112,0,0
190,13.4112,0,0
191,13.4112,0,0
192,13.4112,0,0
193,13.4112,0,0
194,13.4112,0,0
195,13.4112,0,0
196,13.4112,0,0
197,13.4112,0,0
198,13.4112,0,0
199,13.4112,0,0
200,13.4112,0,0
201,13.4112,0,0
202,13.4112,0,0
203,13.4112,0,0
204,13.4112,0,0
205,13.4112,0,0
206,13.4112,0,0
207,13.4112,0,0
208,13.4112,0,0
209,13.4112,0,0
210,13.4112,0,0
211,13.4112,0,0
212,13.4112,0,0
213,13.4112,0,0
214,13.4112,0,0
215,13.4112,0,0
216,13.4112,0,0
217,13.4112,0,0
218,13.4112,0,0
219,13.4112,0,0
220,13.4112,0,0
221,13.4112,0,0
222,13.4112,0,0
223,13.4112,0,0
224,13.4112,0,0
225,13.4112,0,0
226,13.4112,0,0
227,13.4112,0,0
228,13.4112,0,0
229,13.4112,0,0
230,13.4112,0,0
231,13.4112,0,0
